Custody,Sentence_Length,Gender,Age_Cont,Ethnicity,Offence,Prev_Convictions,GP_first,AF_Injury,AF_Vuln_Victim,AF_Rep_Assault,AF_Weapon,MF_Remorse,MF_Good_Char
0,NA,Female,22,0,Assault,None,0,0,0,0,0,1,1
0,NA,Male,23,0,Affray,None,1,0,0,0,0,1,1
1,53,Male,23,0,Affray,1 to 3,0,0,0,0,1,0,0
1,107,Male,52,0,Affray,4 to 9,1,0,1,0,0,0,0
0,NA,Female,19,1,Assault,None,0,0,0,0,0,0,0
0,NA,Female,20,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,22,0,Affray,1 to 3,0,0,0,0,1,1,0
1,143,Male,24,1,Affray,1 to 3,1,0,0,0,1,0,0
1,85,Male,22,1,Affray,4 to 9,0,0,0,0,1,0,0
0,NA,Female,22,0,Assault,None,0,0,0,0,0,1,0
1,84,Male,18,0,Harassment,4 to 9,1,0,0,0,0,0,0
0,NA,Male,21,1,Harassment,None,0,0,0,0,0,0,0
0,NA,Male,27,1,Affray,None,0,0,0,0,0,0,0
0,NA,Male,41,0,Affray,None,0,0,0,0,0,1,1
0,NA,Male,21,1,Affray,None,1,1,0,0,0,1,1
1,111,Male,30,1,GBH,1 to 3,0,0,0,1,0,0,0
0,NA,Male,19,0,GBH,None,1,1,0,0,1,1,1
0,NA,Male,24,0,GBH,None,0,0,0,0,0,1,1
0,NA,Male,21,1,Assault,None,0,0,0,0,0,0,1
1,135,Male,31,1,GBH,1 to 3,0,1,0,1,1,0,0
0,NA,Male,28,0,GBH,None,0,0,0,0,0,0,0
1,110,Male,30,1,Affray,1 to 3,0,0,1,0,0,0,0
0,NA,Male,33,1,Harassment,None,1,0,0,0,0,1,0
0,NA,Female,20,0,Affray,None,0,0,0,1,1,1,0
1,250,Male,37,0,Affray,None,1,1,0,0,1,1,0
1,172,Male,31,0,Affray,1 to 3,0,0,0,1,1,0,0
1,89,Male,26,0,Affray,1 to 3,0,0,0,1,1,0,0
1,109,Male,34,1,Affray,1 to 3,0,0,0,0,0,0,0
1,163,Male,28,1,Assault,4 to 9,1,0,0,1,1,0,0
1,57,Female,37,1,Affray,None,0,0,0,1,1,0,0
0,NA,Male,22,0,GBH,None,0,0,0,0,1,0,1
0,NA,Female,33,0,GBH,None,1,0,0,0,1,1,1
1,141,Male,22,1,Affray,1 to 3,0,0,0,0,1,0,0
0,NA,Male,46,0,Affray,None,1,0,0,1,1,0,1
0,NA,Male,43,0,GBH,None,0,1,0,0,0,1,0
0,NA,Female,25,0,Assault,None,1,0,0,0,0,1,1
0,NA,Male,20,0,Harassment,None,0,0,0,0,0,0,0
1,169,Male,19,1,GBH,4 to 9,0,1,1,0,1,0,0
1,169,Male,23,1,GBH,4 to 9,0,1,0,1,1,0,0
0,NA,Male,32,0,GBH,None,1,1,0,0,0,1,1
0,NA,Male,51,1,Affray,None,1,0,0,0,1,1,0
0,NA,Female,20,1,GBH,None,1,1,0,0,0,1,0
0,NA,Male,29,1,Affray,None,0,0,0,1,0,1,1
1,87,Male,37,0,Cruelty_Child,None,0,0,0,0,0,0,0
0,NA,Male,54,1,Affray,None,0,0,0,0,1,0,1
0,NA,Male,47,0,Affray,None,0,0,0,0,0,1,1
1,198,Male,36,0,GBH,None,0,0,0,0,1,0,0
0,NA,Male,33,0,Affray,None,0,0,0,1,1,0,1
0,NA,Male,38,1,Affray,4 to 9,0,0,0,0,0,0,0
1,109,Female,24,0,GBH,None,0,1,0,0,1,0,1
1,88,Male,44,1,Affray,None,1,0,0,0,0,0,0
1,171,Male,22,1,Affray,None,1,1,1,1,1,0,0
0,NA,Male,24,0,GBH,None,1,0,0,0,0,1,0
0,NA,Male,19,0,GBH,None,1,0,0,0,1,1,1
0,NA,Male,44,1,Affray,None,0,0,0,0,1,1,1
1,82,Male,37,0,Affray,1 to 3,1,1,0,0,0,0,1
0,NA,Male,21,0,Assault,None,0,0,0,0,0,0,0
0,NA,Female,33,0,Assault,None,0,0,0,0,0,0,0
1,136,Male,52,1,Harassment,1 to 3,0,1,0,0,0,0,0
1,144,Male,40,0,Harassment,4 to 9,0,1,0,0,0,0,0
1,137,Male,40,1,GBH,1 to 3,1,0,0,0,1,0,0
0,NA,Male,23,1,Assault,None,1,0,0,0,0,0,1
0,NA,Male,23,0,Assault,None,1,0,0,0,0,0,1
